,Unnamed: 0,CountryName,iso_a3,C1M_combined_numeric,C2M_combined_numeric,C3M_combined_numeric,C4M_combined_numeric,C5M_combined_numeric,C6M_combined_numeric,C7M_combined_numeric,C8EV_combined_numeric,ConfirmedCases,demo,cate,confirm_rate,increase,policy_C,ym,week2
0,4.0,Afghanistan,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,1.0,0.0,0.0,-1.3089070016480204,202001.0,2020012.0
1,15.5,Afghanistan,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22800000000000006,1.0,0.0,0.0,-1.3089070016480202,202002.0,2020021.0
2,30.0,Afghanistan,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.0,0.2280000000000001,1.0,5.380337974538412e-06,8.967229957564019e-07,-1.2166226225316625,202002.0,2020022.0
3,44.5,Afghanistan,AFG,0.21428571428571427,0.0,1.5,0.0,0.0,0.0,0.0,3.0,7.785714285714286,0.22800000000000006,1.0,2.0944887115167388e-05,1.729394348958775e-06,-0.6956392548309805,202003.0,2020031.0
4,59.5,Afghanistan,AFG,3.0,1.25,1.90625,0.0,0.375,0.65625,0.21875,3.0,63.0,0.228,1.0,0.00016948064619792664,2.5892876502459936e-05,0.3564287054514654,202003.0,2020032.0
5,74.5,Afghanistan,AFG,3.0,2.5,2.0,2.857142857142857,1.5,1.5,0.7142857142857143,3.0,407.5,0.22800000000000006,1.0,0.00109624386231215,9.588530890335792e-05,1.316067599936287,202004.0,2020041.0
6,89.5,Afghanistan,AFG,3.0,2.5,2.0,4.0,1.5,1.5,1.5,3.0,1215.4375,0.228,1.0,0.0032697322684639625,0.0001953735227003917,1.567910856579979,202004.0,2020042.0
7,104.5,Afghanistan,AFG,3.0,2.5,2.0,4.0,1.5,1.5,1.5,3.0,3580.5714285714284,0.22800000000000006,1.0,0.00963234221384499,0.0006748481059492214,1.567910856579979,202005.0,2020051.0
8,120.0,Afghanistan,AFG,3.0,2.5,2.0,4.0,1.5,1.5,1.5,3.0,10152.470588235294,0.228,1.0,0.027311861520633293,0.0015572913531597412,1.567910856579979,202005.0,2020052.0
9,135.5,Afghanistan,AFG,3.0,2.5,2.0,4.0,1.5,1.5,1.5,3.0,20503.64285714286,0.22800000000000006,1.0,0.05515826414032944,0.001858522460347636,1.567910856579979,202006.0,2020061.0
10,150.5,Afghanistan,AFG,3.0,2.5,2.0,4.0,1.5,1.5,1.5,2.875,29039.625,0.228,1.0,0.07812149857692746,0.0011085177583165624,1.5596711798731615,202006.0,2020062.0
11,165.5,Afghanistan,AFG,3.0,2.5,2.0,4.0,1.5,1.5,1.5,1.0,33487.21428571428,0.22800000000000006,1.0,0.09008626534146681,0.0006496758104254696,1.4360760292708963,202007.0,2020071.0
12,181.0,Afghanistan,AFG,3.0,2.5,2.0,4.0,1.5,1.5,1.5,1.0,35917.117647058825,0.228,1.0,0.0966231160062171,0.000285157912650486,1.4360760292708958,202007.0,2020072.0
13,196.5,Afghanistan,AFG,2.2857142857142856,1.7142857142857142,2.0,4.0,1.5,1.5,1.5,1.0,37095.357142857145,0.22800000000000006,1.0,0.09979277935738946,0.00017082573069156134,1.153960594190513,202008.0,2020081.0
14,212.0,Afghanistan,AFG,2.0,1.911764705882353,0.0,0.7058823529411765,1.2058823529411764,0.9705882352941176,0.5,1.0,37986.117647058825,0.228,1.0,0.10218907564087713,0.00011567726645254653,0.004144984352571579,202008.0,2020082.0
15,227.5,Afghanistan,AFG,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,38556.142857142855,0.22800000000000006,1.0,0.1037225397830068,0.00011721450587385197,-0.4931883379878344,202009.0,2020091.0
16,242.5,Afghanistan,AFG,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,39163.4375,0.228,1.0,0.10535626499735583,8.33952386053335e-05,-0.4931883379878345,202009.0,2020092.0
17,257.5,Afghanistan,AFG,1.1428571428571428,2.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,39676.857142857145,0.22800000000000006,1.0,0.10673745059802496,0.00013950447748264927,-0.6849559186849081,202010.0,2020101.0
18,273.0,Afghanistan,AFG,1.0,1.411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,40659.94117647059,0.228,1.0,0.10938211277713136,0.00019843952411970073,-0.8514023244287278,202010.0,2020102.0
19,288.5,Afghanistan,AFG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,42095.42857142857,0.22800000000000006,1.0,0.11324381644866319,0.00031417330672745724,-1.1063658976046802,202011.0,2020111.0
20,303.5,Afghanistan,AFG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44658.0625,0.228,1.0,0.12013773476902989,0.0005457680332921876,-1.0686988040877994,202011.0,2020112.0
21,318.5,Afghanistan,AFG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47944.92857142857,0.22800000000000006,1.0,0.1289799599396944,0.0005876097687906071,-1.068698804087799,202012.0,2020121.0
22,334.0,Afghanistan,AFG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51077.76470588235,0.228,1.0,0.1374078185507983,0.00048375568200476467,-1.0686988040877994,202012.0,2020122.0
23,349.5,Afghanistan,AFG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53203.42857142857,0.22800000000000006,1.0,0.14312621355924954,0.00027766387047165714,-1.068698804087799,202101.0,2021011.0
24,365.0,Afghanistan,AFG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54494.76470588235,0.228,1.0,0.14660012598029717,0.00019749005271242458,-1.0686988040877994,202101.0,2021012.0
25,380.5,Afghanistan,AFG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55320.71428571428,0.22800000000000006,1.0,0.1488220699250091,9.012066107349702e-05,-1.068698804087799,202102.0,2021021.0
26,394.5,Afghanistan,AFG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55615.142857142855,0.22800000000000006,1.0,0.14961413253683217,4.2658393940983984e-05,-1.068698804087799,202102.0,2021022.0
27,408.5,Afghanistan,AFG,1.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,1.0,55858.357142857145,0.22800000000000006,1.0,0.1502684200655216,5.2073985396412594e-05,-0.745326307718045,202103.0,2021031.0
28,424.0,Afghanistan,AFG,0.47058823529411764,2.0,2.0,0.0,0.0,0.0,0.0,1.0,56179.470588235294,0.228,1.0,0.15113226949767308,7.421701500171578e-05,-0.2555274057319653,202103.0,2021032.0
29,439.5,Afghanistan,AFG,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,56935.21428571428,0.22800000000000006,1.0,0.15316534775495522,0.0001994568149132013,-0.3375465981581674,202104.0,2021041.0
30,454.5,Afghanistan,AFG,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,58510.4375,0.228,1.0,0.15740296439405316,0.00037880942051979376,-0.3375465981581674,202104.0,2021042.0
31,469.5,Afghanistan,AFG,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,61537.07142857143,0.22800000000000006,1.0,0.16554512112451278,0.0006936792888600857,-0.3375465981581674,202105.0,2021051.0
32,485.0,Afghanistan,AFG,0.4411764705882353,2.176470588235294,2.0,0.0,0.5294117647058824,0.8823529411764706,0.5882352941176471,1.0,66495.94117647059,0.228,1.0,0.17888531873221852,0.0013423943246472763,0.1188193951238298,202105.0,2021052.0
33,500.5,Afghanistan,AFG,2.607142857142857,2.0,2.0,0.0,0.0,0.0,1.0,1.0714285714285714,81915.78571428571,0.22800000000000006,1.0,0.22036730629636123,0.003770079680730086,0.30288947798550714,202106.0,2021061.0
34,515.5,Afghanistan,AFG,3.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,106368.5,0.228,1.0,0.28614923992234453,0.004573455413919313,0.4325698843419556,202106.0,2021062.0
35,530.5,Afghanistan,AFG,3.0,2.0,2.0,2.25,0.0,0.0,1.0,2.0,129161.85714285714,0.22800000000000006,1.0,0.34746722242380984,0.0034557142190749144,0.6478965303010095,202107.0,2021071.0
36,546.0,Afghanistan,AFG,2.6470588235294117,2.0,2.0,3.5,0.0,0.5294117647058824,0.8235294117647058,1.6470588235294117,143122.4705882353,0.228,1.0,0.38502363175781956,0.001663315660305041,0.7444527947961703,202107.0,2021072.0
37,561.5,Afghanistan,AFG,2.0,2.0,2.0,3.5,0.0,0.75,0.75,2.5,150086.85714285713,0.22800000000000006,1.0,0.4037590084824179,0.0009198456387183716,0.713612462361816,202108.0,2021081.0
38,577.0,Afghanistan,AFG,2.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,4.0,152635.4705882353,0.228,1.0,0.4106152093337116,0.000202395654983335,-0.5428697934193665,202108.0,2021082.0
39,592.5,Afghanistan,AFG,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,153693.07142857142,0.22800000000000006,1.0,0.4134603343152938,0.00018446873055558168,-0.6966557792184952,202109.0,2021091.0
40,607.5,Afghanistan,AFG,0.375,1.875,1.875,0.0,0.9375,0.0,0.0,4.0,154769.125,0.228,1.0,0.4163551002617911,0.00016712674833407084,0.012815003231568528,202109.0,2021092.0
41,622.5,Afghanistan,AFG,0.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,155417.7142857143,0.22800000000000006,1.0,0.41809991504369476,9.761470325231787e-05,0.013635513020058302,202110.0,2021101.0
